file	verb	verb/token	adj	adj/token	noun	noun/token	pronoun	pronoun/token	adv	adv/token	adv_particle	adv_particle/token	conj_coord	conj_coord/token	prep_or_conj_subord	prep_or_conj_subord/token	numeral	numeral/token	det	det/token	there_existential	there_existential/token	interj	interj/token	verb/(adj+.01)	verb/(adv+.01)	verb/(noun+.01)	verb/(pronoun+.01)	adj/(noun+.01)	adj/(pronoun+.01)	adj/(adv+.01)	noun/(pronoun+.01)	noun/(adv+.01)	adv/(pronoun+.01)	conj_coord/(prep_or_conj_subord+.01)
elliott_smith.txt.tkzd.1.txt	38	0.2065217391	13	0.0706521739	38	0.2065217391	26	0.1413043478	13	0.0706521739	0	0	2	0.0108695652	9	0.0489130435	0	0	20	0.1086956522	1	0.0054347826	0	0	2.9208301307	2.9208301307	0.9997369113	1.4609765475	0.3420152591	0.4998077662	0.9992313605	1.4609765475	2.9208301307	0.4998077662	0.2219755827
elliott_smith.txt.tkzd.10.txt	46	0.2446808511	4	0.0212765957	32	0.170212766	38	0.2021276596	4	0.0212765957	0	0	3	0.0159574468	20	0.1063829787	0	0	4	0.0212765957	0	0	0	0	11.4713216958	11.4713216958	1.4370509216	1.21020784	0.1249609497	0.1052354644	0.9975062344	0.8418837148	7.9800498753	0.1052354644	0.1499250375
elliott_smith.txt.tkzd.11.txt	49	0.2311320755	7	0.0330188679	29	0.1367924528	25	0.1179245283	13	0.0613207547	7	0.0330188679	7	0.0330188679	28	0.1320754717	5	0.0235849057	15	0.070754717	0	0	0	0	6.9900142653	3.7663335896	1.6890727335	1.9592163135	0.2412961048	0.2798880448	0.5380476557	1.1595361855	2.2290545734	0.5197920832	0.2499107462
elliott_smith.txt.tkzd.12.txt	44	0.2244897959	6	0.0306122449	28	0.1428571429	26	0.1326530612	12	0.0612244898	4	0.0204081633	12	0.0612244898	24	0.1224489796	0	0	19	0.0969387755	0	0	0	0	7.3211314476	3.6636136553	1.5708675473	1.691657055	0.214209211	0.2306805075	0.4995836803	1.076509035	2.3313905079	0.461361015	0.4997917534
elliott_smith.txt.tkzd.13.txt	45	0.1698113208	9	0.0339622642	55	0.2075471698	33	0.1245283019	11	0.041509434	1	0.0037735849	5	0.0188679245	25	0.0943396226	2	0.0075471698	26	0.0981132075	0	0	0	0	4.9944506104	4.0871934605	0.8180330849	1.3632232657	0.163606617	0.2726446531	0.8174386921	1.6661617692	4.9954586739	0.3332323538	0.199920032
elliott_smith.txt.tkzd.14.txt	32	0.2388059701	4	0.0298507463	22	0.1641791045	25	0.1865671642	10	0.0746268657	0	0	4	0.0298507463	8	0.0597014925	0	0	4	0.0298507463	0	0	0	0	7.9800498753	3.1968031968	1.4538845979	1.2794882047	0.1817355747	0.1599360256	0.3996003996	0.8796481407	2.1978021978	0.399840064	0.4993757803
elliott_smith.txt.tkzd.15.txt	16	0.125	8	0.0625	30	0.234375	15	0.1171875	6	0.046875	1	0.0078125	2	0.015625	11	0.0859375	0	0	11	0.0859375	0	0	0	0	1.9975031211	2.6622296173	0.5331556148	1.0659560293	0.2665778074	0.5329780147	1.3311148087	1.998667555	4.9916805325	0.399733511	0.1816530427
elliott_smith.txt.tkzd.16.txt	41	0.264516129	1	0.0064516129	22	0.1419354839	25	0.1612903226	16	0.1032258065	0	0	5	0.0322580645	7	0.0451612903	1	0.0064516129	10	0.064516129	0	0	0	0	40.5940594059	2.5608994379	1.8627896411	1.6393442623	0.0454338937	0.0399840064	0.0624609619	0.8796481407	1.3741411618	0.6397441024	0.7132667618
elliott_smith.txt.tkzd.17.txt	29	0.2027972028	14	0.0979020979	25	0.1748251748	19	0.1328671329	6	0.041958042	1	0.006993007	4	0.027972028	9	0.0629370629	0	0	10	0.0699300699	1	0.006993007	0	0	2.0699500357	4.8252911814	1.1595361855	1.525512888	0.5597760896	0.7364544976	2.3294509151	1.3150973172	4.159733777	0.3156233561	0.4439511654
elliott_smith.txt.tkzd.18.txt	36	0.2292993631	5	0.0318471338	36	0.2292993631	25	0.1592356688	5	0.0318471338	4	0.025477707	4	0.025477707	16	0.101910828	0	0	9	0.0573248408	0	0	0	0	7.1856287425	7.1856287425	0.9997222994	1.4394242303	0.1388503194	0.199920032	0.998003992	1.4394242303	7.1856287425	0.199920032	0.2498438476
elliott_smith.txt.tkzd.19.txt	19	0.2	3	0.0315789474	18	0.1894736842	15	0.1578947368	2	0.0210526316	3	0.0315789474	1	0.0105263158	7	0.0736842105	1	0.0105263158	11	0.1157894737	0	0	0	0	6.3122923588	9.4527363184	1.0549694614	1.2658227848	0.1665741255	0.1998667555	1.4925373134	1.199200533	8.9552238806	0.1332445037	0.1426533524
elliott_smith.txt.tkzd.2.txt	41	0.1952380952	7	0.0333333333	43	0.2047619048	46	0.219047619	11	0.0523809524	3	0.0142857143	3	0.0142857143	21	0.1	2	0.0095238095	9	0.0428571429	0	0	0	0	5.8487874465	3.7238873751	0.9532666822	0.8911106281	0.1627528482	0.1521408389	0.6357856494	0.9345794393	3.9055404178	0.2390784612	0.142789148
elliott_smith.txt.tkzd.20.txt	47	0.2373737374	5	0.0252525253	30	0.1515151515	46	0.2323232323	13	0.0656565657	3	0.0151515152	6	0.0303030303	12	0.0606060606	0	0	6	0.0303030303	1	0.0050505051	0	0	9.381237525	3.6126056879	1.5661446185	1.0215170615	0.1666111296	0.1086720278	0.384319754	0.6520321669	2.3059185242	0.2825472723	0.4995836803
