file	verb	verb/token	adj	adj/token	noun	noun/token	pronoun	pronoun/token	adv	adv/token	adv_particle	adv_particle/token	conj_coord	conj_coord/token	prep_or_conj_subord	prep_or_conj_subord/token	numeral	numeral/token	det	det/token	there_existential	there_existential/token	interj	interj/token	verb/(adj+.01)	verb/(adv+.01)	verb/(noun+.01)	verb/(pronoun+.01)	adj/(noun+.01)	adj/(pronoun+.01)	adj/(adv+.01)	noun/(pronoun+.01)	noun/(adv+.01)	adv/(pronoun+.01)	conj_coord/(prep_or_conj_subord+.01)
bob_dylan.txt.tkzd.1.txt	74	0.2569444444	1	0.0034722222	25	0.0868055556	58	0.2013888889	15	0.0520833333	3	0.0104166667	24	0.0833333333	18	0.0625	0	0	8	0.0277777778	0	0	0	0	73.2673267327	4.9300466356	2.9588164734	1.2756421307	0.0399840064	0.0172384072	0.0666222518	0.4309601793	1.6655562958	0.2585761076	1.3325930039
bob_dylan.txt.tkzd.10.txt	83	0.1531365314	24	0.0442804428	110	0.2029520295	74	0.1365313653	25	0.0461254613	0	0	12	0.0221402214	63	0.1162361624	3	0.0055350554	49	0.0904059041	0	0	0	0	3.4568929613	3.318672531	0.7544768657	1.1214700716	0.2181619853	0.3242805026	0.9596161535	1.4862856371	4.3982407037	0.3377921902	0.190445961
bob_dylan.txt.tkzd.100.txt	91	0.197826087	27	0.0586956522	60	0.1304347826	82	0.1782608696	25	0.0543478261	1	0.002173913	18	0.0391304348	53	0.1152173913	4	0.0086956522	32	0.0695652174	2	0.0043478261	0	0	3.3691225472	3.6385445822	1.516413931	1.109620778	0.4499250125	0.3292281429	1.0795681727	0.7316180954	2.3990403839	0.3048408731	0.3395585739
bob_dylan.txt.tkzd.101.txt	44	0.197309417	13	0.0582959641	55	0.2466367713	15	0.067264574	14	0.0627802691	0	0	8	0.0358744395	19	0.0852017937	1	0.0044843049	23	0.1031390135	0	0	0	0	3.3820138355	3.1406138473	0.7998545719	2.9313790806	0.236320669	0.8660892738	0.9279086367	3.6642238508	3.9257673091	0.9327115257	0.4208311415
bob_dylan.txt.tkzd.102.txt	25	0.1373626374	12	0.0659340659	39	0.2142857143	24	0.1318681319	11	0.0604395604	0	0	2	0.010989011	25	0.1373626374	2	0.010989011	21	0.1153846154	0	0	0	0	2.0815986678	2.2706630336	0.6408613176	1.0412328197	0.3076134325	0.4997917534	1.0899182561	1.6243231987	3.5422343324	0.4581424407	0.0799680128
bob_dylan.txt.tkzd.103.txt	85	0.2190721649	16	0.0412371134	64	0.1649484536	73	0.1881443299	17	0.043814433	6	0.0154639175	16	0.0412371134	41	0.1056701031	2	0.0051546392	21	0.0541237113	1	0.0025773196	0	0	5.3091817614	4.9970605526	1.3279175129	1.1642240789	0.2499609436	0.2191480619	0.9406231628	0.8765922476	3.7624926514	0.2328448158	0.3901487442
bob_dylan.txt.tkzd.104.txt	55	0.1757188498	9	0.0287539936	59	0.1884984026	47	0.1501597444	30	0.0958466454	5	0.0159744409	4	0.0127795527	24	0.0766773163	0	0	15	0.0479233227	0	0	0	0	6.1043285239	1.8327224259	0.932045416	1.1699638375	0.1525165226	0.191448628	0.2999000333	1.2550521166	1.9660113296	0.6381620932	0.1665972511
bob_dylan.txt.tkzd.105.txt	38	0.19	5	0.025	40	0.2	29	0.145	17	0.085	1	0.005	7	0.035	16	0.08	1	0.005	11	0.055	0	0	0	0	7.5848303393	2.2339800118	0.9497625594	1.3098931403	0.1249687578	0.1723543606	0.2939447384	1.3788348845	2.3515579071	0.5860048259	0.4372267333
bob_dylan.txt.tkzd.106.txt	147	0.209700428	55	0.0784593438	113	0.1611982882	108	0.1540656205	18	0.0256776034	2	0.002853067	25	0.0356633381	38	0.0542082739	10	0.0142653352	79	0.1126961484	0	0	0	0	2.6722414107	8.1621321488	1.3007698434	1.360985094	0.4866825945	0.50921211	3.0538589672	1.046199426	6.27429206	0.166651236	0.6577216522
bob_dylan.txt.tkzd.107.txt	76	0.2228739003	15	0.0439882698	47	0.137829912	50	0.146627566	38	0.1114369501	1	0.0029325513	19	0.0557184751	20	0.0586510264	0	0	15	0.0439882698	0	0	0	0	5.0632911392	1.9994738227	1.6166773027	1.5196960608	0.3190810466	0.299940012	0.3946329913	0.9398120376	1.2365167061	0.7598480304	0.9495252374
